,team_name,href,id,year,league_id
3,Manchester United,/manchester-united/startseite/verein/985/saison_id/2021,985,2021,2
4,Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148/saison_id/2021,148,2021,2
5,Arsenal FC,/fc-arsenal/startseite/verein/11/saison_id/2021,11,2021,2
6,Leicester City,/leicester-city/startseite/verein/1003/saison_id/2021,1003,2021,2
7,Aston Villa,/aston-villa/startseite/verein/405/saison_id/2021,405,2021,2
8,Everton FC,/fc-everton/startseite/verein/29/saison_id/2021,29,2021,2
9,Wolverhampton Wanderers,/wolverhampton-wanderers/startseite/verein/543/saison_id/2021,543,2021,2
10,West Ham United,/west-ham-united/startseite/verein/379/saison_id/2021,379,2021,2
11,Brighton & Hove Albion,/brighton-amp-hove-albion/startseite/verein/1237/saison_id/2021,1237,2021,2
12,Newcastle United,/newcastle-united/startseite/verein/762/saison_id/2021,762,2021,2
13,Leeds United,/leeds-united/startseite/verein/399/saison_id/2021,399,2021,2
14,Southampton FC,/fc-southampton/startseite/verein/180/saison_id/2021,180,2021,2
15,Brentford FC,/fc-brentford/startseite/verein/1148/saison_id/2021,1148,2021,2
16,Crystal Palace,/crystal-palace/startseite/verein/873/saison_id/2021,873,2021,2
17,Norwich City,/norwich-city/startseite/verein/1123/saison_id/2021,1123,2021,2
18,Watford FC,/fc-watford/startseite/verein/1010/saison_id/2021,1010,2021,2
19,Burnley FC,/fc-burnley/startseite/verein/1132/saison_id/2021,1132,2021,2
0,Manchester City,/manchester-city/startseite/verein/281/saison_id/2022,281,2022,2
1,Arsenal FC,/fc-arsenal/startseite/verein/11/saison_id/2022,11,2022,2
2,Chelsea FC,/fc-chelsea/startseite/verein/631/saison_id/2022,631,2022,2
3,Manchester United,/manchester-united/startseite/verein/985/saison_id/2022,985,2022,2
4,Liverpool FC,/fc-liverpool/startseite/verein/31/saison_id/2022,31,2022,2
5,Tottenham Hotspur,/tottenham-hotspur/startseite/verein/148/saison_id/2022,148,2022,2
